user,id,Date&Time,text
REDBOXINDIA,1880210565093794250,2025-01-17T11:08:25.000Z,"WIPRO: Q3 CONS NET PROFIT 33.54B RUPEES VS 32.09B (QOQ)

WIPRO: Q3 REVENUE 223.19B RUPEES VS 223B (QOQ); EST 221.76B

WIPRO: Q3 EBIT 38.64B RUPEES VS 36.73B (QOQ); EST 36.53B || Q3 EBIT MARGIN 17.31% VS 16.47% (QOQ); EST 16.5%

WIPRO: CO DECLARED AN INTERIM DIVIDEND OF 6 RUPEES"
REDBOXINDIA,1880231731464384540,2025-01-17T12:32:32.000Z,TATA MOTORS: CO EXEC SAYS WILL CREATE NETWORK OF 500 CHARGERS ACROSS INDIA
REDBOXINDIA,1880111933447368876,2025-01-17T04:36:30.000Z,"BIG NEW FOR MAP MY INDIA (CE INFOSYSTEM) 

C.E. INFO SYSTEMS: QUALCOMM ENTERS STRATEGIC COLLABORATION WITH CO TO ACCELERATE ‘MAKE IN INDIA’ SOLUTIONS FOR AUTOMOTIVE"
REDBOXINDIA,1880180006133068179,2025-01-17T09:07:00.000Z,"SBI LIFE INSURANCE CO: Q3 SL NET PROFIT 5.5B RUPEES VS 3.22B (YOY)

BEAT YOY BEAT ESTIMATES"
REDBOXINDIA,1880149033915937123,2025-01-17T07:03:55.000Z,"AETHER INDUSTRIES: Q3 SL NET PROFIT 409M RUPEES VS 190M (YOY)

AETHER INDUSTRIES: Q3 EBITDA 597M RUPEES VS 313M (YOY) || Q3 EBITDA MARGIN 30.24% VS 20.17% (YOY) 

STELLAR SHOW 

BIG BEAT YOY AND QOQ"
REDBOXINDIA,1880219313447268689,2025-01-17T11:43:11.000Z,"INDIAN HOTELS: Q3 CONS NET PROFIT 5.82B RUPEES VS 4.52B (YOY); 5.55B (QOQ) 

INDIAN HOTELS: Q3 REVENUE 25.33B RUPEES VS 19.64B (YOY)  

INDIAN HOTELS: Q3 EBITDA 9.62B RUPEES VS 7.32B (YOY) || Q3 EBITDA MARGIN 37.97% VS 37.29% (YOY)"
REDBOXINDIA,1880155156043690268,2025-01-17T07:28:15.000Z,GANESH HOUSING CORP: Q3 EBITDA 2.1B RUPEES VS 1.4B (YOY) || Q3 EBITDA MARGIN 82.09% VS 75.33% (YOY)
REDBOXINDIA,1880087343329341644,2025-01-17T02:58:47.000Z,FORTIS HEALTHCARE: CO ACQUIRED 23.91% STAKE IN AGILUS DIAGNOSTICS FOR A TOTAL CONSIDERATION OF RS 1348.36 CRORES (RS 894.53 CRORES FOR 15.86% STAKE IN NJBIF AND RS 453.84 CRORES FOR 8.05% IN RESURGENCE)
REDBOXINDIA,1880216977823920301,2025-01-17T11:33:54.000Z,"PAYTM: SEBI - SETTLEMENT ORDER IN THE MATTER OF ONE97 COMMUNICATIONS || SEBI - FORMER COMPLIANCE OFFIECER, DIRECTORS SETTLE WITH MARKETS REGULATOR FOR CERTAIN VIOLATIONS"
REDBOXINDIA,1880154685333774677,2025-01-17T07:26:23.000Z,"GANESH HOUSING CORP: Q3 CONS NET PROFIT 1.6B RUPEES VS 1B (YOY)

BIG BEAT YOY AND QOQ"
REDBOXINDIA,1880238599372960127,2025-01-17T12:59:49.000Z,"TATA MOTORS: CO EXEC SAYS BECOMING GLOBALLY READY TO SELL EVS || SAYS EV TAKES AWAY HANDICAP OF VARYING EMISSION NORMS GLOBALLY, ALLOWING US TO SELL IT ABROAD || SAYS HAVE A COMPETITIVE COST STRUCTURE IN INDIA

TATA MOTORS: CO EXEC SAYS COMPETITION IN INDIAN EV SPACE HAS COME A"
REDBOXINDIA,1880143606746599590,2025-01-17T06:42:21.000Z,CAPLIN POINT LABORATORIES LTD - STERILES GETS USFDA APPROVAL FOR LEVETIRACETAM INJECTION
REDBOXINDIA,1880153757738234295,2025-01-17T07:22:42.000Z,SWARAJ ENGINES: Q3 SL NET PROFIT 319M RUPEES VS 241M (YOY)
REDBOXINDIA,1880087530470826461,2025-01-17T02:59:32.000Z,"JUBILANT PHARMOVA: CO UNIT RECEIVED FIVE OBSERVATIONS FROM THE USFDA DURING AN INSPECTION, AND AN ACTION PLAN WILL BE SUBMITTED, WITH THE FACILITY NO LONGER EXPECTED TO MANUFACTURE PRODUCTS"
REDBOXINDIA,1880168434585219240,2025-01-17T08:21:01.000Z,"IDBI BANK: STRATEGIC DISINVESTMENT OF BANK IS IN PROCESS, ENTIRELY HANDLED BY DIPAM - RTRS"
REDBOXINDIA,1880216422909112521,2025-01-17T11:31:42.000Z,"INDIA FX RESERVES, USD ACTUAL: 625.87B VS 634.59B PREVIOUS"
